table,SE,SR,SRa,SRm,SRR,SH,SHa
activity_types,3.0,0.0,0.0,0.0,0.0,0.0,0.0
countries,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ec_framework_programs,3.0,0.0,0.0,0.0,0.0,0.0,0.0
erc_panels,3.0,0.0,0.0,3.0,0.0,0.0,0.0
erc_research_domains,3.0,0.0,0.0,0.0,0.0,0.0,0.0
eu_territorial_units,1.0,0.0,0.0,0.0,0.0,0.0,0.0
funding_schemes,3.0,0.0,0.0,0.0,0.0,0.0,0.0
institutions,3.0,0.0,0.0,3.0,0.0,0.0,0.0
people,3.0,0.0,0.0,0.0,0.0,0.0,0.0
programmes,3.0,0.0,0.0,3.0,0.0,0.0,0.0
project_erc_panels,0.0,2.0,0.0,1.0,0.0,1.0,0.0
project_member_roles,3.0,0.0,0.0,0.0,0.0,0.0,0.0
project_members,1.0,0.0,0.0,1.0,2.0,0.0,0.0
project_programmes,0.0,3.0,0.0,0.0,0.0,0.0,0.0
project_subject_areas,0.0,3.0,0.0,0.0,0.0,0.0,0.0
project_topics,0.0,3.0,0.0,0.0,0.0,0.0,0.0
projects,3.0,0.0,0.0,3.0,0.0,0.0,0.0
subject_areas,3.0,0.0,0.0,0.0,0.0,0.0,0.0
topics,3.0,0.0,0.0,0.0,0.0,0.0,0.0
