eval-query;eval-ucq;eval-jucq;eval-off;eval-m;eval-r;eval-winner;est-query;est-ucq;est-jucq;est-off;est-m;est-r;est-winner
1;2486;2897;15;1;0;ontop;1;35180;103360;15;1;0;ontop
2;20866;16266;15;2;0;jucq;2;296325;360282;15;2;0;ontop
3;13832;8410;15;2;1;jucq;3;213680;205360;15;2;1;jucq
4;73753;48298;15;3;0;jucq;4;1029481;832803;15;3;0;jucq
5;58699;26709;15;3;1;jucq;5;780825;530282;15;3;1;jucq
6;50105;18595;15;3;2;jucq;6;698180;375360;15;3;2;jucq
7;187469;104022;15;4;0;jucq;7;2489668;1582254;15;4;0;jucq
8;150896;66641;15;4;1;jucq;8;1972981;1070803;15;4;1;jucq
9;141014;42490;15;4;2;jucq;9;1724325;768282;15;4;2;jucq
10;131972;33427;15;4;3;jucq;10;1641680;613360;15;4;3;jucq
11;382817;192268;15;5;0;jucq;11;4937500;2669602;15;5;0;jucq
12;325250;124214;15;5;1;jucq;12;4045168;1888254;15;5;1;jucq
13;293087;81676;15;5;2;jucq;13;3528481;1376803;15;5;2;jucq
14;296444;63234;15;5;3;jucq;14;3279825;1074282;15;5;3;jucq
15;269755;52912;15;5;4;jucq;15;3197180;919360;15;5;4;jucq
16;710208;322628;15;6;0;jucq;16;8637701;4155606;15;6;0;jucq
17;610541;216350;15;6;1;jucq;17;7258000;3043602;15;6;1;jucq
18;558263;150005;15;6;2;jucq;18;6365668;2262254;15;6;2;jucq
19;529319;108938;15;6;3;jucq;19;5848981;1750803;15;6;3;jucq
20;534783;90557;15;6;4;jucq;20;5600325;1448282;15;6;4;jucq
21;500088;79884;15;6;5;jucq;21;5517680;1293360;15;6;5;jucq
22;3795;4273;10;1;0;ontop;22;71600;209201;10;1;0;ontop
23;33283;27254;10;2;0;jucq;23;602572;728007;10;2;0;ontop
24;19187;11173;10;2;1;jucq;24;428600;413201;10;2;1;jucq
25;118064;82000;10;3;0;jucq;25;2092449;1680490;10;3;0;jucq
26;87479;40172;10;3;1;jucq;26;1571572;1068007;10;3;1;jucq
27;71823;24270;10;3;2;jucq;27;1397600;753201;10;3;2;jucq
28;305532;189775;10;4;0;jucq;28;5058715;3189314;10;4;0;jucq
29;229639;101346;10;4;1;jucq;29;3979449;2156490;10;4;1;jucq
30;212978;60470;10;4;2;jucq;30;3458572;1544007;10;4;2;jucq
31;191229;44155;10;4;3;jucq;31;3284600;1229201;10;4;3;jucq
32;652611;351388;10;5;0;jucq;32;10030035;5376413;10;5;0;jucq
33;516102;210847;10;5;1;jucq;33;8169715;3801314;10;5;1;jucq
34;451618;131603;10;5;2;jucq;34;7090449;2768490;10;5;2;jucq
35;454451;91889;10;5;3;jucq;35;6569572;2156007;10;5;3;jucq
36;412111;73237;10;5;4;jucq;36;6395600;1841201;10;5;4;jucq
37;1198217;610249;10;6;0;jucq;37;17543304;8363305;10;6;0;jucq
38;1016017;384837;10;6;1;jucq;38;14671035;6124413;10;6;1;jucq
39;897407;250258;10;6;2;jucq;39;12810715;4549314;10;6;2;jucq
40;837056;168743;10;6;3;jucq;40;11731449;3516490;10;6;3;jucq
41;855162;129220;10;6;4;jucq;41;11210572;2904007;10;6;4;jucq
42;781414;108458;10;6;5;jucq;42;11036600;2589201;10;6;5;jucq
43;5042;5569;5;1;0;ontop;43;108489;315978;5;1;0;ontop
44;45600;38213;5;2;0;jucq;44;912565;1098540;5;2;0;ontop
45;23973;13488;5;2;1;jucq;45;643989;621978;5;2;1;jucq
46;171989;116052;5;3;0;jucq;46;3168058;2533795;5;3;0;jucq
47;116405;53657;5;3;1;jucq;47;2366065;1608540;5;3;1;jucq
48;93739;29675;5;3;2;jucq;48;2097489;1131978;5;3;2;jucq
49;422109;265979;5;4;0;jucq;49;7657724;4805738;5;4;0;jucq
50;310312;139759;5;4;1;jucq;50;5998558;3247795;5;4;1;jucq
51;286519;80650;5;4;2;jucq;51;5196565;2322540;5;4;2;jucq
52;251259;56531;5;4;3;jucq;52;4927989;1845978;5;4;3;jucq
53;881271;505848;5;5;0;jucq;53;15181088;8097268;5;5;0;jucq
54;704916;299621;5;5;1;jucq;54;12324224;5723738;5;5;1;jucq
55;611714;174481;5;5;2;jucq;55;10665058;4165795;5;5;2;jucq
56;614798;119040;5;5;3;jucq;56;9863065;3240540;5;5;3;jucq
57;554581;92581;5;5;4;jucq;57;9594489;2763978;5;5;4;jucq
58;1683367;885005;5;6;0;jucq;58;26550025;12590666;5;6;0;jucq
59;1430818;566122;5;6;1;jucq;59;22142588;9219268;5;6;1;jucq
60;1208664;357813;5;6;2;jucq;60;19285724;6845738;5;6;2;jucq
61;1138825;229502;5;6;3;jucq;61;17626558;5287795;5;6;3;jucq
62;1154710;172090;5;6;4;jucq;62;16824565;4362540;5;6;4;jucq
63;1032530;143207;5;6;5;jucq;63;16555989;3885978;5;6;5;jucq
64;6831;6951;0;1;0;ontop;64;145682;423364;0;1;0;ontop
65;57609;54964;0;2;0;jucq;65;1224989;1470897;0;2;0;ontop
66;29622;16154;0;2;1;jucq;66;859682;831364;0;2;1;jucq
67;220234;155129;0;3;0;jucq;67;4251875;3390748;0;3;0;jucq
68;145409;67864;0;3;1;jucq;68;3162989;2150897;0;3;1;jucq
69;116110;35305;0;3;2;jucq;69;2797682;1511364;0;3;2;jucq
70;540238;344683;0;4;0;jucq;70;10276188;6428241;0;4;0;jucq
71;394746;193898;0;4;1;jucq;71;8025875;4342748;0;4;1;jucq
72;369107;99418;0;4;2;jucq;72;6936989;3102897;0;4;2;jucq
73;316717;66524;0;4;3;jucq;73;6571682;2463364;0;4;3;jucq
74;1205411;726458;0;5;0;jucq;74;20370143;10827244;0;5;0;jucq
75;910639;416147;0;5;1;jucq;75;16498188;7652241;0;5;1;jucq
76;781660;224237;0;5;2;jucq;76;14247875;5566748;0;5;2;jucq
77;790105;146392;0;5;3;jucq;77;13158989;4326897;0;5;3;jucq
78;709611;109282;0;5;4;jucq;78;12793682;3687364;0;5;4;jucq
79;2186189;1146627;0;6;0;jucq;79;35622412;16830795;0;6;0;jucq
80;1761923;716905;0;6;1;jucq;80;29652143;12323244;0;6;1;jucq
81;1551291;448079;0;6;2;jucq;81;25780188;9148241;0;6;2;jucq
82;1451373;280330;0;6;3;jucq;82;23529875;7062748;0;6;3;jucq
83;1486210;207675;0;6;4;jucq;83;22440989;5822897;0;6;4;jucq
84;1327922;165668;0;6;5;jucq;84;22075682;5183364;0;6;5;jucq
