PID DATE TIME ELAPSED CPU MEM RSS VSIZE
29946 2016-07-01 11:59:03 00:00 0.0 0.0 11920 2895424
29946 2016-07-01 11:59:04 00:01 151 0.0 66548 4157540
29946 2016-07-01 11:59:05 00:02 270 0.1 222192 4157632
29946 2016-07-01 11:59:06 00:03 278 0.2 248308 4157632
29946 2016-07-01 11:59:07 00:04 248 0.2 245276 4157632
29946 2016-07-01 11:59:08 00:05 225 0.2 225752 4157632
29946 2016-07-01 11:59:09 00:06 207 0.2 226652 4157632
29946 2016-07-01 11:59:10 00:07 232 0.2 254120 4157632
29946 2016-07-01 11:59:11 00:08 228 0.2 250816 4157632
29946 2016-07-01 11:59:12 00:09 216 0.2 252060 4157632
29946 2016-07-01 11:59:13 00:10 206 0.2 243104 4157632
29946 2016-07-01 11:59:14 00:12 183 0.2 243104 4157632
29946 2016-07-01 11:59:15 00:13 178 0.2 243616 4157632
29946 2016-07-01 11:59:16 00:14 174 0.2 243092 4157632
29946 2016-07-01 11:59:17 00:15 170 0.2 242888 4157632
29946 2016-07-01 11:59:18 00:16 166 0.2 243596 4157632
29946 2016-07-01 11:59:20 00:17 164 0.2 244528 4157632
29946 2016-07-01 11:59:21 00:18 162 0.2 244052 4157632
29946 2016-07-01 11:59:22 00:19 160 0.2 244316 4157632
29946 2016-07-01 11:59:23 00:20 158 0.2 244308 4157632
29946 2016-07-01 11:59:24 00:21 162 0.2 318528 4157648
29946 2016-07-01 11:59:25 00:22 169 0.2 319976 4157648
29946 2016-07-01 11:59:26 00:23 175 0.2 322736 4157648
29946 2016-07-01 11:59:27 00:24 189 0.3 347168 4157648
29946 2016-07-01 11:59:28 00:25 188 0.3 345480 4157648
29946 2016-07-01 11:59:29 00:26 192 0.3 360888 4157648
29946 2016-07-01 11:59:30 00:27 197 0.3 362712 4157648
29946 2016-07-01 11:59:31 00:28 200 0.3 364876 4157648
29946 2016-07-01 11:59:32 00:29 199 0.3 364876 4157648
29946 2016-07-01 11:59:33 00:30 201 0.3 360128 4157648
29946 2016-07-01 11:59:34 00:31 203 0.3 361448 4157648
29946 2016-07-01 11:59:35 00:32 207 0.3 362240 4157648
29946 2016-07-01 11:59:36 00:33 206 0.3 362504 4157648
29946 2016-07-01 11:59:37 00:34 208 0.3 363744 4157648
29946 2016-07-01 11:59:38 00:35 209 0.3 365220 4157648
29946 2016-07-01 11:59:39 00:37 205 0.3 366540 4157648
29946 2016-07-01 11:59:40 00:38 207 0.3 367032 4157648
29946 2016-07-01 11:59:41 00:39 206 0.3 367032 4157648
29946 2016-07-01 11:59:42 00:40 207 0.3 367824 4157648
29946 2016-07-01 11:59:44 00:41 209 0.3 368352 4157648
29946 2016-07-01 11:59:45 00:42 211 0.3 368880 4157648
29946 2016-07-01 11:59:46 00:43 213 0.3 369672 4157648
29946 2016-07-01 11:59:47 00:44 212 0.3 369672 4157648
29946 2016-07-01 11:59:48 00:45 213 0.3 370200 4157648
29946 2016-07-01 11:59:49 00:46 215 0.3 371256 4157648
29946 2016-07-01 11:59:50 00:47 216 0.3 371784 4157648
29946 2016-07-01 11:59:51 00:48 217 0.3 371784 4157648
29946 2016-07-01 11:59:52 00:49 216 0.3 372312 4157648
29946 2016-07-01 11:59:53 00:50 218 0.3 372576 4157648
29946 2016-07-01 11:59:54 00:51 218 0.3 372576 4157648
29946 2016-07-01 11:59:55 00:52 220 0.3 372576 4157648
29946 2016-07-01 11:59:56 00:53 219 0.3 372576 4157648
29946 2016-07-01 11:59:57 00:54 220 0.3 372804 4157648
29946 2016-07-01 11:59:58 00:55 222 0.3 373004 4157648
29946 2016-07-01 11:59:59 00:56 223 0.3 373004 4157648
29946 2016-07-01 12:00:00 00:57 224 0.3 373004 4157648
29946 2016-07-01 12:00:01 00:59 222 0.3 373532 4157648
29946 2016-07-01 12:00:02 01:00 221 0.0 0 0
