[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#1] [num_results#11.q] = 0
[run#1] [num_results#01.q] = 0
[run#1] [num_results#02.q] = 0
[run#1] [num_results#04.q] = 0
[run#1] [num_results#05.q] = 0
[run#1] [num_results#06.q] = 0
[run#1] [unfolding_time#06.q] = 0
[run#1] [execution_time#08.q] = 1200000
[run#1] [execution_time#07.q] = 1200000
[run#1] [execution_time#06.q] = 233004
[run#1] [execution_time#01.q] = 1830
[run#1] [unfolding_time#01.q] = 0
[run#1] [unfolding_time#02.q] = 0
[run#1] [execution_time#05.q] = 1655
[run#1] [execution_time#04.q] = 2068
[run#1] [execution_time#03.q] = 1200000
[run#1] [unfolding_time#04.q] = 0
[run#1] [execution_time#02.q] = 1639
[run#1] [unfolding_time#05.q] = 0
[run#1] [rewriting_time#11.q] = 0
[run#1] [resultset_traversal_time#01.q] = 0
[run#1] [resultset_traversal_time#02.q] = 0
[run#1] [execution_time#11.q] = 1547
[run#1] [resultset_traversal_time#05.q] = 0
[run#1] [unfolding_time#11.q] = 0
[run#1] [resultset_traversal_time#04.q] = 0
[run#1] [resultset_traversal_time#06.q] = 0
[run#1] [rewriting_time#01.q] = 0
[run#1] [resultset_traversal_time#11.q] = 0
[run#1] [rewriting_time#02.q] = 0
[run#1] [rewriting_time#04.q] = 0
[run#1] [rewriting_time#05.q] = 0
[run#1] [rewriting_time#06.q] = 0
[run#1] [mix_time#1] = 3841743
[run#0] [num_results#11.q] = 0
[run#0] [num_results#01.q] = 0
[run#0] [num_results#02.q] = 0
[run#0] [num_results#04.q] = 0
[run#0] [num_results#05.q] = 0
[run#0] [num_results#06.q] = 0
[run#0] [unfolding_time#06.q] = 0
[run#0] [execution_time#08.q] = 1200000
[run#0] [execution_time#07.q] = 1200000
[run#0] [execution_time#06.q] = 229668
[run#0] [execution_time#01.q] = 1579
[run#0] [unfolding_time#01.q] = 0
[run#0] [unfolding_time#02.q] = 0
[run#0] [execution_time#05.q] = 1693
[run#0] [execution_time#04.q] = 2093
[run#0] [execution_time#03.q] = 1200000
[run#0] [unfolding_time#04.q] = 0
[run#0] [execution_time#02.q] = 1631
[run#0] [unfolding_time#05.q] = 0
[run#0] [rewriting_time#11.q] = 0
[run#0] [resultset_traversal_time#01.q] = 0
[run#0] [resultset_traversal_time#02.q] = 0
[run#0] [execution_time#11.q] = 1461
[run#0] [resultset_traversal_time#05.q] = 0
[run#0] [unfolding_time#11.q] = 0
[run#0] [resultset_traversal_time#04.q] = 0
[run#0] [resultset_traversal_time#06.q] = 0
[run#0] [rewriting_time#01.q] = 0
[run#0] [resultset_traversal_time#11.q] = 0
[run#0] [rewriting_time#02.q] = 0
[run#0] [rewriting_time#04.q] = 0
[run#0] [rewriting_time#05.q] = 0
[run#0] [rewriting_time#06.q] = 0
[run#0] [mix_time#0] = 3838127
[run#2] [num_results#11.q] = 0
[run#2] [num_results#01.q] = 0
[run#2] [num_results#02.q] = 0
[run#2] [num_results#04.q] = 0
[run#2] [num_results#05.q] = 0
[run#2] [num_results#06.q] = 0
[run#2] [unfolding_time#06.q] = 0
[run#2] [execution_time#08.q] = 1200000
[run#2] [execution_time#07.q] = 1200000
[run#2] [execution_time#06.q] = 233111
[run#2] [execution_time#01.q] = 1839
[run#2] [unfolding_time#01.q] = 0
[run#2] [unfolding_time#02.q] = 0
[run#2] [execution_time#05.q] = 1604
[run#2] [execution_time#04.q] = 2004
[run#2] [execution_time#03.q] = 1200000
[run#2] [unfolding_time#04.q] = 0
[run#2] [execution_time#02.q] = 1610
[run#2] [unfolding_time#05.q] = 0
[run#2] [rewriting_time#11.q] = 0
[run#2] [resultset_traversal_time#01.q] = 0
[run#2] [resultset_traversal_time#02.q] = 0
[run#2] [execution_time#11.q] = 1573
[run#2] [resultset_traversal_time#05.q] = 0
[run#2] [unfolding_time#11.q] = 0
[run#2] [resultset_traversal_time#04.q] = 0
[run#2] [resultset_traversal_time#06.q] = 0
[run#2] [rewriting_time#01.q] = 0
[run#2] [resultset_traversal_time#11.q] = 0
[run#2] [rewriting_time#02.q] = 0
[run#2] [rewriting_time#04.q] = 0
[run#2] [rewriting_time#05.q] = 0
[run#2] [rewriting_time#06.q] = 0
[run#2] [mix_time#2] = 3841742
