[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#1] [num_results#07.q] = 0
[run#1] [num_results#08.q] = 0
[run#1] [num_results#11.q] = 0
[run#1] [num_results#01.q] = 0
[run#1] [num_results#02.q] = 0
[run#1] [num_results#03.q] = 0
[run#1] [num_results#04.q] = 0
[run#1] [num_results#05.q] = 0
[run#1] [num_results#06.q] = 0
[run#1] [unfolding_time#06.q] = 0
[run#1] [execution_time#08.q] = 6313
[run#1] [unfolding_time#07.q] = 0
[run#1] [unfolding_time#08.q] = 0
[run#1] [execution_time#07.q] = 11519
[run#1] [execution_time#06.q] = 7282
[run#1] [execution_time#01.q] = 4927
[run#1] [unfolding_time#01.q] = 0
[run#1] [unfolding_time#02.q] = 0
[run#1] [execution_time#05.q] = 29492
[run#1] [unfolding_time#03.q] = 0
[run#1] [execution_time#04.q] = 7821
[run#1] [execution_time#03.q] = 32852
[run#1] [unfolding_time#04.q] = 0
[run#1] [execution_time#02.q] = 2620
[run#1] [unfolding_time#05.q] = 0
[run#1] [rewriting_time#11.q] = 0
[run#1] [resultset_traversal_time#01.q] = 0
[run#1] [resultset_traversal_time#03.q] = 0
[run#1] [resultset_traversal_time#02.q] = 0
[run#1] [execution_time#11.q] = 2669
[run#1] [resultset_traversal_time#05.q] = 0
[run#1] [unfolding_time#11.q] = 0
[run#1] [resultset_traversal_time#04.q] = 0
[run#1] [resultset_traversal_time#07.q] = 0
[run#1] [resultset_traversal_time#06.q] = 0
[run#1] [resultset_traversal_time#08.q] = 0
[run#1] [rewriting_time#01.q] = 0
[run#1] [resultset_traversal_time#11.q] = 0
[run#1] [rewriting_time#02.q] = 0
[run#1] [rewriting_time#03.q] = 0
[run#1] [rewriting_time#04.q] = 0
[run#1] [rewriting_time#05.q] = 0
[run#1] [rewriting_time#06.q] = 0
[run#1] [rewriting_time#07.q] = 0
[run#1] [rewriting_time#08.q] = 0
[run#1] [mix_time#1] = 105495
[run#0] [num_results#07.q] = 0
[run#0] [num_results#08.q] = 0
[run#0] [num_results#11.q] = 0
[run#0] [num_results#01.q] = 0
[run#0] [num_results#02.q] = 0
[run#0] [num_results#03.q] = 0
[run#0] [num_results#04.q] = 0
[run#0] [num_results#05.q] = 0
[run#0] [num_results#06.q] = 0
[run#0] [unfolding_time#06.q] = 0
[run#0] [execution_time#08.q] = 6303
[run#0] [unfolding_time#07.q] = 0
[run#0] [unfolding_time#08.q] = 0
[run#0] [execution_time#07.q] = 11495
[run#0] [execution_time#06.q] = 7298
[run#0] [execution_time#01.q] = 5208
[run#0] [unfolding_time#01.q] = 0
[run#0] [unfolding_time#02.q] = 0
[run#0] [execution_time#05.q] = 29528
[run#0] [unfolding_time#03.q] = 0
[run#0] [execution_time#04.q] = 7397
[run#0] [execution_time#03.q] = 23627
[run#0] [unfolding_time#04.q] = 0
[run#0] [execution_time#02.q] = 2734
[run#0] [unfolding_time#05.q] = 0
[run#0] [rewriting_time#11.q] = 0
[run#0] [resultset_traversal_time#01.q] = 0
[run#0] [resultset_traversal_time#03.q] = 0
[run#0] [resultset_traversal_time#02.q] = 0
[run#0] [execution_time#11.q] = 2675
[run#0] [resultset_traversal_time#05.q] = 0
[run#0] [unfolding_time#11.q] = 0
[run#0] [resultset_traversal_time#04.q] = 0
[run#0] [resultset_traversal_time#07.q] = 0
[run#0] [resultset_traversal_time#06.q] = 0
[run#0] [resultset_traversal_time#08.q] = 0
[run#0] [rewriting_time#01.q] = 0
[run#0] [resultset_traversal_time#11.q] = 0
[run#0] [rewriting_time#02.q] = 0
[run#0] [rewriting_time#03.q] = 0
[run#0] [rewriting_time#04.q] = 0
[run#0] [rewriting_time#05.q] = 0
[run#0] [rewriting_time#06.q] = 0
[run#0] [rewriting_time#07.q] = 0
[run#0] [rewriting_time#08.q] = 0
[run#0] [mix_time#0] = 96266
[run#2] [num_results#07.q] = 0
[run#2] [num_results#08.q] = 0
[run#2] [num_results#11.q] = 0
[run#2] [num_results#01.q] = 0
[run#2] [num_results#02.q] = 0
[run#2] [num_results#03.q] = 0
[run#2] [num_results#04.q] = 0
[run#2] [num_results#05.q] = 0
[run#2] [num_results#06.q] = 0
[run#2] [unfolding_time#06.q] = 0
[run#2] [execution_time#08.q] = 6422
[run#2] [unfolding_time#07.q] = 0
[run#2] [unfolding_time#08.q] = 0
[run#2] [execution_time#07.q] = 11278
[run#2] [execution_time#06.q] = 7367
[run#2] [execution_time#01.q] = 5118
[run#2] [unfolding_time#01.q] = 0
[run#2] [unfolding_time#02.q] = 0
[run#2] [execution_time#05.q] = 30419
[run#2] [unfolding_time#03.q] = 0
[run#2] [execution_time#04.q] = 7521
[run#2] [execution_time#03.q] = 106112
[run#2] [unfolding_time#04.q] = 0
[run#2] [execution_time#02.q] = 2796
[run#2] [unfolding_time#05.q] = 0
[run#2] [rewriting_time#11.q] = 0
[run#2] [resultset_traversal_time#01.q] = 0
[run#2] [resultset_traversal_time#03.q] = 0
[run#2] [resultset_traversal_time#02.q] = 0
[run#2] [execution_time#11.q] = 2652
[run#2] [resultset_traversal_time#05.q] = 0
[run#2] [unfolding_time#11.q] = 0
[run#2] [resultset_traversal_time#04.q] = 0
[run#2] [resultset_traversal_time#07.q] = 1
[run#2] [resultset_traversal_time#06.q] = 0
[run#2] [resultset_traversal_time#08.q] = 0
[run#2] [rewriting_time#01.q] = 0
[run#2] [resultset_traversal_time#11.q] = 0
[run#2] [rewriting_time#02.q] = 0
[run#2] [rewriting_time#03.q] = 0
[run#2] [rewriting_time#04.q] = 0
[run#2] [rewriting_time#05.q] = 0
[run#2] [rewriting_time#06.q] = 0
[run#2] [rewriting_time#07.q] = 0
[run#2] [rewriting_time#08.q] = 0
[run#2] [mix_time#2] = 179686
